Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
19,0.9,Good,D,SI1,61.9,64.0,6.0,6.09,3.74,3567
17735,0.5,Ideal,E,VS2,61.0,56.0,5.17,5.12,3.14,1629
19245,0.25,Very Good,F,VS1,61.2,59.0,4.02,4.05,2.47,435
3055,0.32,Ideal,F,VS1,61.9,57.0,4.38,4.41,2.72,716
25854,0.93,Very Good,D,SI2,62.6,57.0,6.2,6.26,3.9,4214
10204,0.33,Ideal,E,VS2,60.6,55.0,4.5,4.48,2.72,928
19917,1.05,Ideal,J,SI2,62.3,54.0,6.52,6.55,4.07,4126
13695,1.06,Premium,I,VS1,62.4,55.0,6.57,6.5,4.08,4920
4704,0.47,Ideal,F,VVS1,61.6,56.0,5.0,5.02,3.09,2113
4623,1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,7392
7223,0.38,Ideal,D,SI1,61.3,57.0,4.67,4.7,2.87,884
23527,0.29,Ideal,J,VS1,61.8,56.0,4.23,4.26,2.62,435
26872,1.01,Very Good,G,VS1,62.7,56.0,6.36,6.46,4.02,6326
8839,0.32,Ideal,F,IF,60.7,56.0,4.43,4.46,2.7,990
22523,0.53,Ideal,J,VS2,62.6,53.0,5.21,5.24,3.27,1038
18637,0.7,Very Good,E,VS2,62.4,58.0,5.66,5.68,3.54,2952
1274,0.58,Ideal,F,SI1,62.3,54.0,5.36,5.39,3.35,1401
20234,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,14483
3060,0.43,Ideal,F,VVS1,62.3,55.0,4.85,4.88,3.03,1358
7008,0.42,Ideal,G,IF,62.1,56.0,4.8,4.83,2.99,1400
3341,1.52,Premium,D,SI2,59.1,58.0,7.48,7.45,4.41,9959
25646,0.32,Ideal,H,VS1,62.1,55.0,4.39,4.4,2.73,524
26914,0.64,Very Good,I,SI1,63.0,57.0,5.47,5.52,3.46,1390
13068,1.27,Ideal,F,VVS2,62.2,54.0,6.92,6.95,4.31,12576
20081,0.31,Ideal,H,IF,61.8,57.0,4.32,4.35,2.68,789
7068,0.91,Ideal,D,SI1,62.1,55.0,6.2,6.24,3.86,5535
19050,1.22,Ideal,G,VS1,62.5,57.0,6.82,6.77,4.25,8608
9333,0.4,Premium,H,SI1,62.6,58.0,4.72,4.68,2.94,855
20999,0.3,Ideal,D,VS2,61.8,55.0,4.27,4.3,2.65,736
10537,0.46,Premium,E,VS1,61.9,58.0,4.91,4.94,3.05,1372
6685,1.01,Ideal,G,VS2,60.4,61.0,6.45,6.5,3.91,6132
3675,0.57,Ideal,I,IF,61.0,55.0,5.38,5.41,3.29,1779
9671,0.92,Premium,F,SI1,62.6,59.0,6.19,6.23,3.89,3749
2918,1.01,Premium,D,VS1,62.4,58.0,6.38,6.41,3.99,8265
9231,0.31,Ideal,G,VS2,61.6,54.0,4.39,4.41,2.71,544
5461,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2760
